timestamp,powerconsumer1_energy_mwh,elapsed_time_min,unit,speed_kn,phase,DG1_energy_produced_mwh,propulsion_power_mw,fins_status,timestamp_dt,powerconsumer1_kw,DG1_power_kw,date,hour,minute,day_of_week,is_weekend,hour_sin,hour_cos,pc1_kw_lag1,pc1_kw_lag2,pc1_kw_roll3,dg1_on,consumer_share_dg1
1761551700000,0.027791667,5,ship1,33.412,SEA,0.31766666666666665,6.646233333333333,0,2025-10-27 07:55:00,333.500004,3812.0,2025-10-27,7,55,0,0,0.9659258262890683,-0.25881904510252063,341.300004,335.833332,336.87778,1,0.08748688457502624
1761552000000,0.028127778,5,ship1,33.41,SEA,0.31733333333333336,6.610433333333333,0,2025-10-27 08:00:00,337.533336,3808.0000000000005,2025-10-27,8,0,0,0,0.8660254037844387,-0.4999999999999998,333.500004,341.300004,337.44444799999997,1,0.08863795588235293
1761552300000,0.028694444,5,ship1,33.583,SEA,0.326,6.899866666666666,0,2025-10-27 08:05:00,344.333328,3912.0,2025-10-27,8,5,0,0,0.8660254037844387,-0.4999999999999998,337.533336,333.500004,338.455556,1,0.08801976687116564
1761552600000,0.028358333,5,ship1,34.452,SEA,0.3616666666666667,8.189366666666666,0,2025-10-27 08:10:00,340.299996,4340.0,2025-10-27,8,10,0,0,0.8660254037844387,-0.4999999999999998,344.333328,337.533336,340.72222000000005,1,0.07841013732718895
1761552900000,0.028722222,5,ship1,35.134,SEA,0.37,8.4139,1,2025-10-27 08:15:00,344.666664,4439.999999999999,2025-10-27,8,15,0,0,0.8660254037844387,-0.4999999999999998,340.299996,344.333328,343.0999960000001,1,0.07762762702702705
1761553200000,0.0282,5,ship1,35.364000000000004,SEA,0.371,8.421166666666666,1,2025-10-27 08:20:00,338.4,4452.0,2025-10-27,8,20,0,0,0.8660254037844387,-0.4999999999999998,344.666664,340.299996,341.12222,1,0.07601078167115903
1761553500000,0.027588889,5,ship1,35.455,SEA,0.37,8.418099999999999,1,2025-10-27 08:25:00,331.06666799999994,4439.999999999999,2025-10-27,8,25,0,0,0.8660254037844387,-0.4999999999999998,338.4,344.666664,338.04444399999994,1,0.07456456486486486
1761553800000,0.027963889,5,ship1,35.437,SEA,0.36866666666666664,8.351199999999999,1,2025-10-27 08:30:00,335.566668,4423.999999999999,2025-10-27,8,30,0,0,0.8660254037844387,-0.4999999999999998,331.06666799999994,338.4,335.01111199999997,1,0.07585141681735987
1761554100000,0.027719444,5,ship1,35.1,SEA,0.3313333333333333,7.017266666666666,1,2025-10-27 08:35:00,332.633328,3976.0,2025-10-27,8,35,0,0,0.8660254037844387,-0.4999999999999998,335.566668,331.06666799999994,333.088888,1,0.08366029376257546
1761554400000,0.027572222,5,ship1,32.187,SEA,0.2823333333333333,3.3062333333333327,1,2025-10-27 08:40:00,330.86666399999996,3388.0,2025-10-27,8,40,0,0,0.8660254037844387,-0.4999999999999998,332.633328,335.566668,333.02222,1,0.09765840141676504
1761554700000,0.027997222,5,ship1,31.009,SEA,0.352,3.5901,1,2025-10-27 08:45:00,335.966664,4224.0,2025-10-27,8,45,0,0,0.8660254037844387,-0.4999999999999998,330.86666399999996,332.633328,333.155552,1,0.07953756249999999
1761555000000,0.027902778,5,ship1,30.706,SEA,0.3456666666666667,3.4836666666666667,1,2025-10-27 08:50:00,334.833336,4148.0,2025-10-27,8,50,0,0,0.8660254037844387,-0.4999999999999998,335.966664,330.86666399999996,333.88888799999995,1,0.08072163355834136
1761555300000,0.028019444,5,ship1,30.619999999999997,SEA,0.346,3.4812666666666665,1,2025-10-27 08:55:00,336.233328,4151.999999999999,2025-10-27,8,55,0,0,0.8660254037844387,-0.4999999999999998,334.833336,335.966664,335.677776,1,0.08098105202312139
1761555600000,0.028397222,5,ship1,30.628999999999998,SEA,0.3456666666666667,3.4593,1,2025-10-27 09:00:00,340.766664,4148.0,2025-10-27,9,0,0,0,0.7071067811865476,-0.7071067811865475,336.233328,334.833336,337.27777599999996,1,0.08215204050144648
